department;liste;candidate;votes;percentage_inscriped;percentage_expressed;bloc
Ain;AGIR POUR NE PLUS SUBIR;OMEIR Farid;297;0,07;0,23;Centre
Allier;AGIR POUR NE PLUS SUBIR;OMEIR Farid;7;0;0,01;Centre
Ardeche;AGIR POUR NE PLUS SUBIR;OMEIR Farid;2;0;0;Centre
Cantal;AGIR POUR NE PLUS SUBIR;OMEIR Farid;33;0,03;0,07;Centre
Drome;AGIR POUR NE PLUS SUBIR;OMEIR Farid;367;0,1;0,3;Centre
Isere;AGIR POUR NE PLUS SUBIR;OMEIR Farid;1263;0,15;0,47;Centre
Loire;AGIR POUR NE PLUS SUBIR;OMEIR Farid;559;0,11;0,38;Centre
Haute-Loire;AGIR POUR NE PLUS SUBIR;OMEIR Farid;1;0;0;Centre
Puy-de-Dome;AGIR POUR NE PLUS SUBIR;OMEIR Farid;5;0;0;Centre
Rhone;AGIR POUR NE PLUS SUBIR;OMEIR Farid;2312;0,2;0,68;Centre
Savoie;AGIR POUR NE PLUS SUBIR;OMEIR Farid;409;0,13;0,4;Centre
Haute-Savoie;AGIR POUR NE PLUS SUBIR;OMEIR Farid;429;0,08;0,28;Centre
Ardennes;AGIR;TYANE Adil;211;0,11;0,38;Centre
Aube;AGIR;TYANE Adil;282;0,14;0,46;Centre
Marne;AGIR;TYANE Adil;43;0,01;0,04;Centre
Haute-Marne;AGIR;TYANE Adil;0;0;0;Centre
Meurthe-et-Moselle;AGIR;TYANE Adil;853;0,18;0,62;Centre
Meuse;AGIR;TYANE Adil;52;0,04;0,12;Centre
Moselle;AGIR;TYANE Adil;2070;0,28;1,1;Centre
Bas-Rhin;AGIR;TYANE Adil;1250;0,16;0,57;Centre
Haut-Rhin;AGIR;TYANE Adil;497;0,09;0,35;Centre
Vosges;AGIR;TYANE Adil;4;0;0;Centre
Martinique;AKM AKTE KILTI MATNIK;BERISSON Olivier;2135;0,7;2,23;Ecologisme
Martinique;ALIANS MATINIK;LETCHIMY Serge;30267;9,87;31,66;Gauche
La Reunion;ANSANM ALON ReYONe;HOARAU Olivier;9800;1,47;4,24;Gauche
Martinique;ANSANM POU PEYI NOU;NILOR Jean-Philippe;11481;3,75;12,01;Gauche
Ain;AURALP, LA MAJORITe PReSI;BONNELL Bruno;12821;3,02;9,9;Centre
Allier;AURALP, LA MAJORITe PReSI;BONNELL Bruno;5574;2,26;6,48;Centre
Ardeche;AURALP, LA MAJORITe PReSI;BONNELL Bruno;6141;2,45;6,82;Centre
Cantal;AURALP, LA MAJORITe PReSI;BONNELL Bruno;2176;1,9;4,71;Centre
Drome;AURALP, LA MAJORITe PReSI;BONNELL Bruno;11249;3,01;9,16;Centre
Isere;AURALP, LA MAJORITe PReSI;BONNELL Bruno;29629;3,42;11,01;Centre
Loire;AURALP, LA MAJORITe PReSI;BONNELL Bruno;12864;2,55;8,74;Centre
Haute-Loire;AURALP, LA MAJORITe PReSI;BONNELL Bruno;3361;1,88;4,78;Centre
Puy-de-Dome;AURALP, LA MAJORITe PReSI;BONNELL Bruno;11592;2,53;7,26;Centre
Rhone;AURALP, LA MAJORITe PReSI;BONNELL Bruno;47424;4,2;13,99;Centre
Savoie;AURALP, LA MAJORITe PReSI;BONNELL Bruno;8940;2,87;8,82;Centre
Haute-Savoie;AURALP, LA MAJORITe PReSI;BONNELL Bruno;16521;3,03;10,87;Centre
Corse-du-Sud;AVANZEMU;ANGELINI Jean-Christophe;9269;8,26;14,9;Gauche
Haute-Corse;AVANZEMU;ANGELINI Jean-Christophe;8503;6,67;11,77;Gauche
Guadeloupe;AIRG;PIRBAKAS Maxette;3131;0,99;3,42;Droite radicale et extreme droite
Ariege;BASTIR OCCITANIE;DAVEZAC Jean-Luc;435;0,37;0,91;Centre
Aude;BASTIR OCCITANIE;DAVEZAC Jean-Luc;1017;0,37;0,99;Centre
Aveyron;BASTIR OCCITANIE;DAVEZAC Jean-Luc;560;0,26;0,63;Centre
Gard;BASTIR OCCITANIE;DAVEZAC Jean-Luc;1296;0,24;0,75;Centre
Haute-Garonne;BASTIR OCCITANIE;DAVEZAC Jean-Luc;2052;0,23;0,64;Centre
Gers;BASTIR OCCITANIE;DAVEZAC Jean-Luc;844;0,58;1,36;Centre
Herault;BASTIR OCCITANIE;DAVEZAC Jean-Luc;1602;0,2;0,61;Centre
Lot;BASTIR OCCITANIE;DAVEZAC Jean-Luc;335;0,24;0,58;Centre
Lozere;BASTIR OCCITANIE;DAVEZAC Jean-Luc;434;0,73;1,6;Centre
Hautes-Pyrenees;BASTIR OCCITANIE;DAVEZAC Jean-Luc;745;0,42;1,13;Centre
Pyrenees-Orientales;BASTIR OCCITANIE;DAVEZAC Jean-Luc;773;0,22;0,65;Centre
Tarn;BASTIR OCCITANIE;DAVEZAC Jean-Luc;791;0,27;0,72;Centre
Tarn-et-Garonne;BASTIR OCCITANIE;DAVEZAC Jean-Luc;626;0,34;0,89;Centre
Cotes-d'Armor;BRETAGNE D'AVENIR;DESMARES-POIRRIER Claire;21574;4,68;12,59;Ecologisme
Finistere;BRETAGNE D'AVENIR;DESMARES-POIRRIER Claire;35454;5,12;15,06;Ecologisme
Ille-et-Vilaine;BRETAGNE D'AVENIR;DESMARES-POIRRIER Claire;41674;5,58;16,73;Ecologisme
Morbihan;BRETAGNE D'AVENIR;DESMARES-POIRRIER Claire;27611;4,66;14,13;Ecologisme
Cotes-d'Armor;BRETAGNE INSOUMISE;CADALEN Pierre-Yves;9838;2,13;5,74;Gauche radicale et extreme gauche
Finistere;BRETAGNE INSOUMISE;CADALEN Pierre-Yves;14094;2,03;5,99;Gauche radicale et extreme gauche
Ille-et-Vilaine;BRETAGNE INSOUMISE;CADALEN Pierre-Yves;13833;1,85;5,55;Gauche radicale et extreme gauche
Morbihan;BRETAGNE INSOUMISE;CADALEN Pierre-Yves;9679;1,63;4,95;Gauche radicale et extreme gauche
Cotes-d'Armor;BRETAGNE MA VIE;CUEFF Daniel;10129;2,2;5,91;Ecologisme
Finistere;BRETAGNE MA VIE;CUEFF Daniel;15432;2,23;6,55;Ecologisme
Ille-et-Vilaine;BRETAGNE MA VIE;CUEFF Daniel;18849;2,52;7,57;Ecologisme
Morbihan;BRETAGNE MA VIE;CUEFF Daniel;11104;1,87;5,68;Ecologisme
Cotes-d'Armor;BRETAGNE RESPONSABLE;MARTIN Joannic;3170;0,69;1,85;Centre
Finistere;BRETAGNE RESPONSABLE;MARTIN Joannic;3516;0,51;1,49;Centre
Ille-et-Vilaine;BRETAGNE RESPONSABLE;MARTIN Joannic;3093;0,41;1,24;Centre
Morbihan;BRETAGNE RESPONSABLE;MARTIN Joannic;3413;0,58;1,75;Centre
Corse-du-Sud;CAMPÀ MEGLIU IN CORSICA;STEFANI Michel;1762;1,57;2,83;Gauche radicale et extreme gauche
Haute-Corse;CAMPÀ MEGLIU IN CORSICA;STEFANI Michel;2517;1,97;3,48;Gauche radicale et extreme gauche
Guyane;CHANGER D'AIR;AMERICAIN Jessi;1811;1,78;5,27;Gauche
Martinique;COMBAT OUVRIER;JEAN-MARIE Gabriel;565;0,18;0,59;Gauche radicale et extreme gauche
Guadeloupe;COMBAT OUVRIER  - FELCDT;NOMERTIN Jean-Marie;2443;0,77;2,67;Gauche radicale et extreme gauche
Alpes-de-Haute-Provence;RASSEMBLEMENT NATIONAL;MARIANI Thierry;13571;10,75;28,18;Droite radicale et extreme droite
Hautes-Alpes;RASSEMBLEMENT NATIONAL;MARIANI Thierry;10684;9,58;24,19;Droite radicale et extreme droite
Alpes-Maritimes;RASSEMBLEMENT NATIONAL;MARIANI Thierry;94539;12,47;37,88;Droite radicale et extreme droite
Bouches-du-Rhone;RASSEMBLEMENT NATIONAL;MARIANI Thierry;146025;10,54;34,13;Droite radicale et extreme droite
Var;RASSEMBLEMENT NATIONAL;MARIANI Thierry;101681;12,77;40,26;Droite radicale et extreme droite
Vaucluse;RASSEMBLEMENT NATIONAL;MARIANI Thierry;54133;13,4;40,47;Droite radicale et extreme droite
Guadeloupe;C A;CHALUS Ary;45110;14,25;49,31;Centre
La Reunion;COOPERATION;DE FLORE Corinne;506;0,08;0,22;Droite
Corse-du-Sud;CORE IN FRONTE;BENEDETTI Paul-Felix;5362;4,78;8,62;Gauche radicale et extreme gauche
Haute-Corse;CORE IN FRONTE;BENEDETTI Paul-Felix;5920;4,64;8,2;Gauche radicale et extreme gauche
Corse-du-Sud;CORSE, TERRE DE PROGRES;ORSUCCI Jean-Charles;4201;3,74;6,75;Centre
Haute-Corse;CORSE, TERRE DE PROGRES;ORSUCCI Jean-Charles;3756;2,94;5,2;Centre
Corse-du-Sud;CORSICA FIERA;GIACOMI Jean-Antoine;267;0,24;0,43;Droite radicale et extreme droite
Haute-Corse;CORSICA FIERA;GIACOMI Jean-Antoine;524;0,41;0,73;Droite radicale et extreme droite
Corse-du-Sud;CORSICA LIBERA;TALAMONI Jean-Guy;3688;3,29;5,93;Gauche radicale et extreme gauche
Haute-Corse;CORSICA LIBERA;TALAMONI Jean-Guy;5592;4,38;7,74;Gauche radicale et extreme gauche
Cotes-d'Armor;DEBOUT LA BRETAGNE;CABAS David;2321;0,5;1,35;Droite radicale et extreme droite
Finistere;DEBOUT LA BRETAGNE;CABAS David;3164;0,46;1,34;Droite radicale et extreme droite
Ille-et-Vilaine;DEBOUT LA BRETAGNE;CABAS David;2840;0,38;1,14;Droite radicale et extreme droite
Morbihan;DEBOUT LA BRETAGNE;CABAS David;3594;0,61;1,84;Droite radicale et extreme droite
Loire-Atlantique;DEBOUT LES PDL;BAYLE DE JESSe Cecile;7414;0,72;2,41;Droite radicale et extreme droite
Maine-et-Loire;DEBOUT LES PDL;BAYLE DE JESSe Cecile;5001;0,86;3,11;Droite radicale et extreme droite
Mayenne;DEBOUT LES PDL;BAYLE DE JESSe Cecile;1772;0,79;2,62;Droite radicale et extreme droite
Sarthe;DEBOUT LES PDL;BAYLE DE JESSe Cecile;4326;1,06;3,79;Droite radicale et extreme droite
Vendee;DEBOUT LES PDL;BAYLE DE JESSe Cecile;5565;1,04;3,43;Droite radicale et extreme droite
Martinique;DECLIC;JOCK Philippe;3747;1,22;3,92;Centre
Cher;DeMOCRATIE eCOLOGIQUE;CLeMENT Jeremy;2561;1,14;3,66;Ecologisme
Eure-et-Loir;DeMOCRATIE eCOLOGIQUE;CLeMENT Jeremy;4309;1,43;4,71;Ecologisme
Indre;DeMOCRATIE eCOLOGIQUE;CLeMENT Jeremy;1747;1,05;3,11;Ecologisme
Indre-et-Loire;DeMOCRATIE eCOLOGIQUE;CLeMENT Jeremy;5536;1,28;4,33;Ecologisme
Loir-et-Cher;DeMOCRATIE eCOLOGIQUE;CLeMENT Jeremy;3339;1,38;4,05;Ecologisme
Loiret;DeMOCRATIE eCOLOGIQUE;CLeMENT Jeremy;5679;1,26;4,03;Ecologisme
Guadeloupe;DOUBOUT LA GWADLOUP;DELANNAY Tony;532;0,17;0,58;Droite radicale et extreme droite
Ariege;DU COURAGE PR L'OCCITANIE;PRADIe Aurelien;3280;2,79;6,9;Droite
Aude;DU COURAGE PR L'OCCITANIE;PRADIe Aurelien;9151;3,34;8,87;Droite
Aveyron;DU COURAGE PR L'OCCITANIE;PRADIe Aurelien;16738;7,69;18,74;Droite
Gard;DU COURAGE PR L'OCCITANIE;PRADIe Aurelien;20580;3,79;11,83;Droite
Haute-Garonne;DU COURAGE PR L'OCCITANIE;PRADIe Aurelien;32153;3,58;10,03;Droite
Gers;DU COURAGE PR L'OCCITANIE;PRADIe Aurelien;8517;5,86;13,77;Droite
Herault;DU COURAGE PR L'OCCITANIE;PRADIe Aurelien;27302;3,33;10,36;Droite
Lot;DU COURAGE PR L'OCCITANIE;PRADIe Aurelien;20084;14,69;34,85;Droite
Lozere;DU COURAGE PR L'OCCITANIE;PRADIe Aurelien;4586;7,72;16,94;Droite
Hautes-Pyrenees;DU COURAGE PR L'OCCITANIE;PRADIe Aurelien;6385;3,62;9,65;Droite
Pyrenees-Orientales;DU COURAGE PR L'OCCITANIE;PRADIe Aurelien;12692;3,58;10,68;Droite
Tarn;DU COURAGE PR L'OCCITANIE;PRADIe Aurelien;12916;4,4;11,81;Droite
Tarn-et-Garonne;DU COURAGE PR L'OCCITANIE;PRADIe Aurelien;9596;5,18;13,67;Droite
Corse-du-Sud;ECOLOGIA SULIDARIA;SIMONPIETRI Agnes;2168;1,93;3,48;Ecologisme
Haute-Corse;ECOLOGIA SULIDARIA;SIMONPIETRI Agnes;2871;2,25;3,97;Ecologisme
Cote-d'Or;ECOLOGISTES ET SOLIDAIRES;MODDE Stephanie;14749;4,12;11,87;Ecologisme
Doubs;ECOLOGISTES ET SOLIDAIRES;MODDE Stephanie;12012;3,31;10,15;Ecologisme
Jura;ECOLOGISTES ET SOLIDAIRES;MODDE Stephanie;7575;4,05;11,99;Ecologisme
Nievre;ECOLOGISTES ET SOLIDAIRES;MODDE Stephanie;4953;3,21;9,92;Ecologisme
Haute-Saone;ECOLOGISTES ET SOLIDAIRES;MODDE Stephanie;5240;2,97;7,85;Ecologisme
Saone-et-Loire;ECOLOGISTES ET SOLIDAIRES;MODDE Stephanie;11792;2,95;9,49;Ecologisme
Yonne;ECOLOGISTES ET SOLIDAIRES;MODDE Stephanie;7927;3,36;10,15;Ecologisme
Territoire de Belfort;ECOLOGISTES ET SOLIDAIRES;MODDE Stephanie;3370;3,63;11,55;Ecologisme
Guadeloupe;E A P L'A;PLAISIR Alain;2324;0,73;2,54;Gauche
Ain;ENSEMBLE POUR NOTRE ReGIO;CUKIERMAN Cecile;5375;1,27;4,15;Gauche radicale et extreme gauche
Allier;ENSEMBLE POUR NOTRE ReGIO;CUKIERMAN Cecile;5843;2,37;6,79;Gauche radicale et extreme gauche
Ardeche;ENSEMBLE POUR NOTRE ReGIO;CUKIERMAN Cecile;6706;2,67;7,45;Gauche radicale et extreme gauche
Cantal;ENSEMBLE POUR NOTRE ReGIO;CUKIERMAN Cecile;1818;1,59;3,93;Gauche radicale et extreme gauche
Drome;ENSEMBLE POUR NOTRE ReGIO;CUKIERMAN Cecile;7871;2,11;6,41;Gauche radicale et extreme gauche
Isere;ENSEMBLE POUR NOTRE ReGIO;CUKIERMAN Cecile;16906;1,95;6,28;Gauche radicale et extreme gauche
Loire;ENSEMBLE POUR NOTRE ReGIO;CUKIERMAN Cecile;10272;2,04;6,98;Gauche radicale et extreme gauche
Haute-Loire;ENSEMBLE POUR NOTRE ReGIO;CUKIERMAN Cecile;2750;1,54;3,91;Gauche radicale et extreme gauche
Puy-de-Dome;ENSEMBLE POUR NOTRE ReGIO;CUKIERMAN Cecile;10943;2,39;6,85;Gauche radicale et extreme gauche
Rhone;ENSEMBLE POUR NOTRE ReGIO;CUKIERMAN Cecile;16443;1,46;4,85;Gauche radicale et extreme gauche
Savoie;ENSEMBLE POUR NOTRE ReGIO;CUKIERMAN Cecile;5372;1,72;5,3;Gauche radicale et extreme gauche
Haute-Savoie;ENSEMBLE POUR NOTRE ReGIO;CUKIERMAN Cecile;5135;0,94;3,38;Gauche radicale et extreme gauche
Cher;ENSEMBLE, LE MEILLEUR EST;FESNEAU Marc;9213;4,12;13,17;Centre
Eure-et-Loir;ENSEMBLE, LE MEILLEUR EST;FESNEAU Marc;16337;5,42;17,85;Centre
Indre;ENSEMBLE, LE MEILLEUR EST;FESNEAU Marc;6151;3,71;10,95;Centre
Indre-et-Loire;ENSEMBLE, LE MEILLEUR EST;FESNEAU Marc;20678;4,78;16,18;Centre
Loir-et-Cher;ENSEMBLE, LE MEILLEUR EST;FESNEAU Marc;19757;8,15;23,98;Centre
Loiret;ENSEMBLE, LE MEILLEUR EST;FESNEAU Marc;22576;5,01;16,02;Centre
Paris;ENVIE D'ILE DE FRANCE;SAINT-MARTIN Laurent;63234;4,79;14,05;Centre
Seine-et-Marne;ENVIE D'ILE DE FRANCE;SAINT-MARTIN Laurent;22176;2,5;9,31;Centre
Yvelines;ENVIE D'ILE DE FRANCE;SAINT-MARTIN Laurent;39951;4,18;12,69;Centre
Essonne;ENVIE D'ILE DE FRANCE;SAINT-MARTIN Laurent;26176;3,29;11,21;Centre
Hauts-de-Seine;ENVIE D'ILE DE FRANCE;SAINT-MARTIN Laurent;46080;4,71;13,77;Centre
Seine-Saint-Denis;ENVIE D'ILE DE FRANCE;SAINT-MARTIN Laurent;13283;1,69;7,25;Centre
Val-de-Marne;ENVIE D'ILE DE FRANCE;SAINT-MARTIN Laurent;26547;3,38;11,6;Centre
Val-d'Oise;ENVIE D'ILE DE FRANCE;SAINT-MARTIN Laurent;18955;2,6;10,12;Centre
La Reunion;ET MAINTENANT OSONS 2021;MIRANVILLE Vanessa;22879;3,42;9,91;Ecologisme
Corse-du-Sud;FÀ POPULU INSEME;SIMEONI Gilles;14253;12,7;22,91;Gauche radicale et extreme gauche
Haute-Corse;FÀ POPULU INSEME;SIMEONI Gilles;24994;19,59;34,6;Gauche radicale et extreme gauche
Aisne;UNE FRANCE FEDERALE;ALEXANDRE Audric;619;0,17;0,5;Droite
Nord;UNE FRANCE FEDERALE;ALEXANDRE Audric;2573;0,14;0,49;Droite
Oise;UNE FRANCE FEDERALE;ALEXANDRE Audric;885;0,16;0,51;Droite
Pas-de-Calais;UNE FRANCE FEDERALE;ALEXANDRE Audric;1829;0,17;0,5;Droite
Somme;UNE FRANCE FEDERALE;ALEXANDRE Audric;794;0,2;0,56;Droite
Calvados;FAIRE GAGNER LA NORMANDIE;BAY Nicolas;28318;5,65;17,11;Droite radicale et extreme droite
Eure;FAIRE GAGNER LA NORMANDIE;BAY Nicolas;33588;7,85;24,83;Droite radicale et extreme droite
Manche;FAIRE GAGNER LA NORMANDIE;BAY Nicolas;20978;5,52;17,84;Droite radicale et extreme droite
Orne;FAIRE GAGNER LA NORMANDIE;BAY Nicolas;12393;6,05;18,55;Droite radicale et extreme droite
Seine-Maritime;FAIRE GAGNER LA NORMANDIE;BAY Nicolas;54669;6,27;20,27;Droite radicale et extreme droite
Guadeloupe;FPS;WILLIAM Willy, Kevin;1069;0,34;1,17;Autre
Paris;FRANCE DeMOCRATIE DIRECTE;BROT Lionel;1668;0,13;0,37;Autre
Seine-et-Marne;FRANCE DeMOCRATIE DIRECTE;BROT Lionel;1168;0,13;0,49;Autre
Yvelines;FRANCE DeMOCRATIE DIRECTE;BROT Lionel;1735;0,18;0,55;Autre
Essonne;FRANCE DeMOCRATIE DIRECTE;BROT Lionel;1457;0,18;0,62;Autre
Hauts-de-Seine;FRANCE DeMOCRATIE DIRECTE;BROT Lionel;1431;0,15;0,43;Autre
Seine-Saint-Denis;FRANCE DeMOCRATIE DIRECTE;BROT Lionel;954;0,12;0,52;Autre
Val-de-Marne;FRANCE DeMOCRATIE DIRECTE;BROT Lionel;1150;0,15;0,5;Autre
Val-d'Oise;FRANCE DeMOCRATIE DIRECTE;BROT Lionel;1019;0,14;0,54;Autre
Martinique;GRAN SANBLE POU MATINIK;MARIE-JEANNE Alfred;24664;8,05;25,8;Gauche
Guyane;GUYANE KONTRe POUR AVANCE;SERVILLE Gabriel;9510;9,34;27,68;Gauche
Aisne;HAUTS-DE-FRANCE UNIS;PIETRASZEWSKI Laurent;8029;2,16;6,45;Centre
Nord;HAUTS-DE-FRANCE UNIS;PIETRASZEWSKI Laurent;53347;2,96;10,15;Centre
Oise;HAUTS-DE-FRANCE UNIS;PIETRASZEWSKI Laurent;15759;2,82;9,04;Centre
Pas-de-Calais;HAUTS-DE-FRANCE UNIS;PIETRASZEWSKI Laurent;31639;2,91;8,67;Centre
Somme;HAUTS-DE-FRANCE UNIS;PIETRASZEWSKI Laurent;12692;3,12;8,99;Centre
Cotes-d'Armor;HISSONS HAUT LA BRETAGNE;LE CALLENNEC Isabelle;28431;6,17;16,59;Droite
Finistere;HISSONS HAUT LA BRETAGNE;LE CALLENNEC Isabelle;36776;5,31;15,62;Droite
Ille-et-Vilaine;HISSONS HAUT LA BRETAGNE;LE CALLENNEC Isabelle;44916;6,01;18,04;Droite
Morbihan;HISSONS HAUT LA BRETAGNE;LE CALLENNEC Isabelle;28418;4,8;14,55;Droite
Ardennes;IL EST TEMPS !;ROMANI Eliane;5814;3,15;10,47;Gauche
Aube;IL EST TEMPS !;ROMANI Eliane;7657;3,77;12,36;Gauche
Marne;IL EST TEMPS !;ROMANI Eliane;12997;3,46;12,61;Gauche
Haute-Marne;IL EST TEMPS !;ROMANI Eliane;4669;3,59;10,79;Gauche
Meurthe-et-Moselle;IL EST TEMPS !;ROMANI Eliane;26131;5,36;18,93;Gauche
Meuse;IL EST TEMPS !;ROMANI Eliane;5468;4,06;12,77;Gauche
Moselle;IL EST TEMPS !;ROMANI Eliane;29316;3,95;15,61;Gauche
Bas-Rhin;IL EST TEMPS !;ROMANI Eliane;35311;4,59;16,18;Gauche
Haut-Rhin;IL EST TEMPS !;ROMANI Eliane;17524;3,32;12,27;Gauche
Vosges;IL EST TEMPS !;ROMANI Eliane;12574;4,54;14,8;Gauche
Paris;ILE DE FRANCE EN COMMUN;PULVAR Audrey;57940;4,39;12,87;Gauche
Seine-et-Marne;ILE DE FRANCE EN COMMUN;PULVAR Audrey;23808;2,68;9,99;Gauche
Yvelines;ILE DE FRANCE EN COMMUN;PULVAR Audrey;25391;2,66;8,07;Gauche
Essonne;ILE DE FRANCE EN COMMUN;PULVAR Audrey;26440;3,32;11,33;Gauche
Hauts-de-Seine;ILE DE FRANCE EN COMMUN;PULVAR Audrey;30810;3,15;9,21;Gauche
Seine-Saint-Denis;ILE DE FRANCE EN COMMUN;PULVAR Audrey;26724;3,41;14,58;Gauche
Val-de-Marne;ILE DE FRANCE EN COMMUN;PULVAR Audrey;28145;3,58;12,3;Gauche
Val-d'Oise;ILE DE FRANCE EN COMMUN;PULVAR Audrey;21581;2,96;11,52;Gauche
Paris;ILE DE FRANCE RASSEMBLEE;PeCRESSE Valerie;148093;11,21;32,9;Droite
Seine-et-Marne;ILE DE FRANCE RASSEMBLEE;PeCRESSE Valerie;85954;9,68;36,08;Droite
Yvelines;ILE DE FRANCE RASSEMBLEE;PeCRESSE Valerie;136334;14,26;43,31;Droite
Essonne;ILE DE FRANCE RASSEMBLEE;PeCRESSE Valerie;78421;9,85;33,59;Droite
Hauts-de-Seine;ILE DE FRANCE RASSEMBLEE;PeCRESSE Valerie;142122;14,52;42,47;Droite
Seine-Saint-Denis;ILE DE FRANCE RASSEMBLEE;PeCRESSE Valerie;50651;6,46;27,64;Droite
Val-de-Marne;ILE DE FRANCE RASSEMBLEE;PeCRESSE Valerie;77701;9,88;33,94;Droite
Val-d'Oise;ILE DE FRANCE RASSEMBLEE;PeCRESSE Valerie;66300;9,09;35,4;Droite
Paris;IDF ILE D'EUROPE;CONTI Fabiola;751;0,06;0,17;Droite
Seine-et-Marne;IDF ILE D'EUROPE;CONTI Fabiola;159;0,02;0,07;Droite
Yvelines;IDF ILE D'EUROPE;CONTI Fabiola;508;0,05;0,16;Droite
Essonne;IDF ILE D'EUROPE;CONTI Fabiola;372;0,05;0,16;Droite
Hauts-de-Seine;IDF ILE D'EUROPE;CONTI Fabiola;649;0,07;0,19;Droite
Seine-Saint-Denis;IDF ILE D'EUROPE;CONTI Fabiola;499;0,06;0,27;Droite
