departement,year,election_id,department_id,n,y,p_abstentions,lag_p_abstentions
La Réunion,2002,3,100,436889,190835,0.4368043141392894,0.3590005252905513
Aveyron,2007,4,1,217981,25692,0.11786348351461824,0.21794626837849804
Ain,2007,4,2,372899,52040,0.13955521468279614,0.2631482467033292
Aisne,2007,4,3,377475,61974,0.16418040929862904,0.26214388920694637
Allier,2007,4,4,259537,38012,0.14646081290914206,0.26186097542881465
Alpes de Haute Provence,2007,4,5,118936,16143,0.13572845900316136,0.24375131949735182
Hautes Alpes,2007,4,6,102955,14428,0.14013889563401485,0.2423869610935857
Alpes Maritimes,2007,4,7,721716,122392,0.1695847119919747,0.30748839715621684
Ardèche,2007,4,8,235578,30846,0.13093752387744187,0.23759548926882504
Ardennes,2007,4,9,199115,35545,0.17851492855887302,0.27966656619305486
Ariège,2007,4,10,113831,14629,0.12851507937205156,0.23986718886147468
Aube,2007,4,11,204692,33530,0.1638070857678854,0.2623239345751462
Aude,2007,4,12,254404,34465,0.1354734988443578,0.2400950804721936
Bouches du Rhône,2007,4,13,1260916,203962,0.16175700839707008,0.26797319403407427
Calvados,2007,4,14,482677,65521,0.13574502203336808,0.26542276012775257
Cantal,2007,4,15,123363,17513,0.14196314940460267,0.2524893601557011
Charente,2007,4,16,259756,39588,0.15240456428340443,0.26389400650699696
Charente Maritime,2007,4,17,453394,68782,0.15170469834183956,0.2694846693314823
Cher,2007,4,18,232301,40811,0.17568155109104136,0.2665348583352695
Corrèze,2007,4,19,187233,24314,0.1298595867181533,0.2036662198755135
Corse du Sud,2007,4,20,94555,23078,0.24406958912802074,0.40538104153664795
Haute Corse,2007,4,21,111839,27483,0.24573717576158585,0.42128600989825205
Côte d'Or,2007,4,22,349518,50213,0.14366355953055351,0.24482468409229893
Côtes d'Armor,2007,4,23,445906,52087,0.11681161500405915,0.2352864364728487
Creuse,2007,4,24,99799,16523,0.1655627811901923,0.2744371979727341
Dordogne,2007,4,25,309106,36115,0.11683694266691685,0.23732939462023547
Doubs,2007,4,26,353132,50057,0.14175152634142474,0.23405602908708498
Drôme,2007,4,27,338089,46511,0.13757028474750732,0.2532748411439573
Eure,2007,4,28,404264,62946,0.15570518275186512,0.25758865323211605
Eure et Loir,2007,4,29,293851,47165,0.16050651520668638,0.26182660189915974
Finistère,2007,4,30,667662,84178,0.12607876440474372,0.25020925241820274
Gard,2007,4,31,488899,67455,0.13797328282528704,0.2569294508957227
Haute Garonne,2007,4,32,789194,98556,0.12488184147370608,0.2407891605875901
Gers,2007,4,33,140324,16316,0.11627376642627063,0.22699246066030143
Gironde,2007,4,34,953526,119988,0.12583610724825542,0.2833335638638763
Hérault,2007,4,35,699684,98760,0.14114943317268938,0.25659687031096085
Ille et Vilaine,2007,4,36,665646,80991,0.12167278102775349,0.2559543543970928
Indre,2007,4,37,177334,27117,0.15291483866602004,0.24887082715448444
Indre et Loire,2007,4,38,401678,57685,0.1436100558158525,0.26090310392779364
Isère,2007,4,39,784199,107340,0.13687852190579178,0.2620699879282472
Jura,2007,4,40,187083,25831,0.1380724063650893,0.24139908573067104
Landes,2007,4,41,283071,34886,0.12324116564395506,0.2511393304599033
Loir et Cher,2007,4,42,240542,35400,0.14716764639854993,0.24942834055429475
Loire,2007,4,43,505865,74020,0.14632362389174977,0.27201142205398615
Haute Loire,2007,4,44,173258,22362,0.12906763324060072,0.2396616710851413
Loire Atlantique,2007,4,45,892016,113982,0.12778021918889348,0.25979118201292684
Loiret,2007,4,46,435658,67589,0.15514233641985226,0.25066819769856585
Lot,2007,4,47,132896,14595,0.10982271851673489,0.22008363630689531
Lot et Garonne,2007,4,48,238999,30536,0.12776622496328435,0.25181423618691656
Lozère,2007,4,49,60016,7346,0.12240069314849374,0.2262698034949344
Maine et Loire,2007,4,50,539902,65512,0.12134053957940515,0.24894550346204303
Manche,2007,4,51,371781,51495,0.13850896092054193,0.26095552628574453
Marne,2007,4,52,382287,71089,0.18595714737880178,0.29321081389067316
Haute Marne,2007,4,53,142353,24265,0.17045654113366068,0.27815403890996415
Mayenne,2007,4,54,220022,27871,0.12667369626673697,0.2517802407296651
Meurthe et Moselle,2007,4,55,490248,79148,0.16144481976469052,0.2902264511855085
Meuse,2007,4,56,141267,20957,0.148350287045099,0.26780446388740986
Morbihan,2007,4,57,534901,67572,0.12632617998470744,0.2505561813291431
Moselle,2007,4,58,738889,131991,0.17863440922790838,0.31051847608939503
Nièvre,2007,4,59,169334,27660,0.16334581359915906,0.27735979717833753
Nord,2007,4,60,1776070,340660,0.1918055031614745,0.28880967512934524
Oise,2007,4,61,536752,88504,0.16488806748740573,0.2618037952192556
Orne,2007,4,62,216406,30591,0.14135929687716606,0.255999813271713
Pas de Calais,2007,4,63,1078462,187852,0.17418508950709435,0.2685526393630644
Puy de Dôme,2007,4,64,443260,57492,0.12970265758245725,0.2537015276145711
Pyrénées Atlantiques,2007,4,65,474672,60849,0.12819167762159975,0.2711984957125139
Hautes Pyrénées,2007,4,66,176279,23481,0.13320361472438577,0.24920921157655126
Pyrénées Orientales,2007,4,67,314769,47178,0.14988134155523575,0.2712882019721659
Bas Rhin,2007,4,68,717337,121290,0.1690837082152461,0.26107667142764013
Haut Rhin,2007,4,69,506877,86993,0.17162546337671664,0.2622046931400397
Rhône,2007,4,70,1037635,141181,0.1360603680484949,0.2579863937698353
Haute Saône,2007,4,71,179506,25635,0.14280859692712222,0.2368620124474194
Saône et Loire,2007,4,72,408946,66679,0.16305086735167967,0.27023604752042285
Sarthe,2007,4,73,401328,60320,0.15030100067774987,0.2775060522007177
Savoie,2007,4,74,287948,39670,0.13776793032075235,0.26425992507385093
Haute Savoie,2007,4,75,472822,68766,0.1454373950450698,0.2730033764464977
Paris,2007,4,76,1221993,153719,0.12579368294253732,0.29811729022951305
Seine Maritime,2007,4,77,873585,144633,0.16556259551159877,0.2645503719293889
Seine et Marne,2007,4,78,802133,117182,0.14608799288895982,0.3236569477962833
Yvelines,2007,4,79,894380,112496,0.12578098794695766,0.3120346477678842
Deux Sèvres,2007,4,80,269277,34999,0.12997396732732466,0.24427735430391243
Somme,2007,4,81,410269,64372,0.15690193507186748,0.2428069964897543
Tarn,2007,4,82,276354,32012,0.11583693378782287,0.2213260449914948
Tarn et Garonne,2007,4,83,165833,19865,0.11978918550590051,0.22231540897063318
Vaucluse,2007,4,84,370625,54432,0.14686543001686342,0.24436103382504767
Vendée,2007,4,85,464249,55099,0.11868415440851784,0.2393628209382873
Vienne,2007,4,86,299185,42567,0.1422765178735565,0.2472423875957105
Haute Vienne,2007,4,87,265865,35189,0.13235664717055648,0.2287815383672093
Vosges,2007,4,88,288720,43384,0.15026323081185924,0.26819506508645813
Yonne,2007,4,89,245539,39805,0.1621127397277011,0.2647918637854443
Territoire de Belfort,2007,4,90,93779,14698,0.1567301847961697,0.23622064811199733
Essonne,2007,4,91,742932,96023,0.12924870647650122,0.31816621685050456
Hauts de Seine,2007,4,92,904665,118158,0.13060967319394473,0.3227216799378782
Seine Saint Denis,2007,4,93,708171,120251,0.1698050329652019,0.3552455091719119
Val de Marne,2007,4,94,745956,107724,0.14441066229107347,0.3315149287766949
Val d'Oise,2007,4,95,675114,96134,0.14239669152172818,0.3236277931978464
Var,2007,4,96,716795,118514,0.16533876491884011,0.2798245817933877
Guadeloupe,2007,4,97,303311,123946,0.40864327373553877,0.6587249156455337
Martinique,2007,4,98,287465,117881,0.41007079122675805,0.6465125699004984
Guyane,2007,4,99,62526,25783,0.41235645971275947,0.5323922992256744
La Réunion,2007,4,100,510558,139839,0.27389444490146075,0.4368043141392894
Aveyron,2012,5,1,218347,32095,0.14699079904921983,0.11786348351461824
Ain,2012,5,2,393808,65996,0.16758420346971112,0.13955521468279614
Aisne,2012,5,3,376068,72928,0.19392237574055757,0.16418040929862904
Allier,2012,5,4,256275,45266,0.17663057262706078,0.14646081290914206
Alpes de Haute Provence,2012,5,5,123933,21034,0.1697207362042394,0.13572845900316136
Hautes Alpes,2012,5,6,106865,18246,0.17073878257614747,0.14013889563401485
Alpes Maritimes,2012,5,7,745288,153383,0.2058036624767875,0.1695847119919747
Ardèche,2012,5,8,243351,38560,0.1584542492120435,0.13093752387744187
Ardennes,2012,5,9,196579,40508,0.20606473733206498,0.17851492855887302
Ariège,2012,5,10,116370,18502,0.15899286757755435,0.12851507937205156
Aube,2012,5,11,203590,37939,0.1863500171914141,0.1638070857678854
Aude,2012,5,12,264288,43641,0.1651266799854704,0.1354734988443578
Bouches du Rhône,2012,5,13,1314766,257432,0.1958006215554707,0.16175700839707008
Calvados,2012,5,14,490547,82498,0.16817552650408626,0.13574502203336808
Cantal,2012,5,15,120962,20366,0.16836692515004711,0.14196314940460267
Charente,2012,5,16,260765,46641,0.17886219392940003,0.15240456428340443
Charente Maritime,2012,5,17,471947,85478,0.18111779500664268,0.15170469834183956
Cher,2012,5,18,230917,45295,0.1961527302017608,0.17568155109104136
Corrèze,2012,5,19,186701,27332,0.14639450243972985,0.1298595867181533
Corse du Sud,2012,5,20,101682,26173,0.2574005231997797,0.24406958912802074
Haute Corse,2012,5,21,118667,30523,0.25721556961918646,0.24573717576158585
Côte d'Or,2012,5,22,354789,60284,0.1699150762847777,0.14366355953055351
Côtes d'Armor,2012,5,23,450961,64453,0.14292366745683108,0.11681161500405915
Creuse,2012,5,24,96875,17218,0.1777341935483871,0.1655627811901923
Dordogne,2012,5,25,311933,47286,0.15159024534114698,0.11683694266691685
Doubs,2012,5,26,359193,61777,0.1719883182578725,0.14175152634142474
Drôme,2012,5,27,353056,59555,0.16868428804495605,0.13757028474750732
Eure,2012,5,28,417830,77270,0.18493167077519565,0.15570518275186512
Eure et Loir,2012,5,29,297784,56589,0.190033715713403,0.16050651520668638
Finistère,2012,5,30,676771,107176,0.15836375967646368,0.12607876440474372
Gard,2012,5,31,513138,87990,0.17147434023595992,0.13797328282528704
Haute Garonne,2012,5,32,845035,139682,0.16529729537829793,0.12488184147370608
Gers,2012,5,33,143798,20408,0.1419213062768606,0.11627376642627063
Gironde,2012,5,34,1007663,174717,0.17338832526350575,0.12583610724825542
Hérault,2012,5,35,746616,133194,0.17839692693432768,0.14114943317268938
Ille et Vilaine,2012,5,36,697043,106972,0.15346542465816312,0.12167278102775349
Indre,2012,5,37,173772,31336,0.18032824620767443,0.15291483866602004
Indre et Loire,2012,5,38,412904,71358,0.1728198322128146,0.1436100558158525
Isère,2012,5,39,821279,142907,0.17400542324837234,0.13687852190579178
Jura,2012,5,40,188252,30917,0.16423198691116164,0.1380724063650893
Landes,2012,5,41,296740,48073,0.162003774347914,0.12324116564395506
Loir et Cher,2012,5,42,243061,41785,0.17191157775208693,0.14716764639854993
Loire,2012,5,43,509701,89226,0.17505557179601375,0.14632362389174977
Haute Loire,2012,5,44,176103,27225,0.15459702560433383,0.12906763324060072
Loire Atlantique,2012,5,45,935254,147361,0.15756254450662602,0.12778021918889348
Loiret,2012,5,46,442928,80197,0.18106103023516237,0.15514233641985226
Lot,2012,5,47,135178,18738,0.13861723061444908,0.10982271851673489
Lot et Garonne,2012,5,48,240926,40306,0.16729618223022838,0.12776622496328435
Lozère,2012,5,49,59890,8857,0.1478877942895308,0.12240069314849374
Maine et Loire,2012,5,50,553014,86386,0.1562094268861186,0.12134053957940515
Manche,2012,5,51,375716,63635,0.16936994964281532,0.13850896092054193
Marne,2012,5,52,382003,80039,0.20952453252984923,0.18595714737880178
Haute Marne,2012,5,53,138929,27345,0.19682715631725559,0.17045654113366068
Mayenne,2012,5,54,221493,34521,0.15585594127128172,0.12667369626673697
Meurthe et Moselle,2012,5,55,495506,99361,0.2005243125209382,0.16144481976469052
Meuse,2012,5,56,140133,25604,0.18271213775484718,0.148350287045099
Morbihan,2012,5,57,555819,86123,0.15494792369458402,0.12632617998470744
Moselle,2012,5,58,745678,162948,0.21852327680312414,0.17863440922790838
Nièvre,2012,5,59,164911,31721,0.1923522384801499,0.16334581359915906
Nord,2012,5,60,1792359,396523,0.22122967552817266,0.1918055031614745
Oise,2012,5,61,548845,104642,0.1906585648042708,0.16488806748740573
Orne,2012,5,62,212521,35378,0.16646825490186853,0.14135929687716606
Pas de Calais,2012,5,63,1083728,218167,0.2013115837184238,0.17418508950709435
Puy de Dôme,2012,5,64,449247,71581,0.1593355103094734,0.12970265758245725
Pyrénées Atlantiques,2012,5,65,488946,86788,0.1775001738433283,0.12819167762159975
Hautes Pyrénées,2012,5,66,177417,29744,0.16765022517571596,0.13320361472438577
Pyrénées Orientales,2012,5,67,329243,59937,0.18204487263206812,0.14988134155523575
Bas Rhin,2012,5,68,748087,150904,0.20171985343950638,0.1690837082152461
Haut Rhin,2012,5,69,521174,107366,0.20600797430416712,0.17162546337671664
Rhône,2012,5,70,1100632,202748,0.18421052631578946,0.1360603680484949
Haute Saône,2012,5,71,180646,30428,0.16843993224317172,0.14280859692712222
Saône et Loire,2012,5,72,409987,77577,0.18921819472324733,0.16305086735167967
Sarthe,2012,5,73,406858,72523,0.17825138008838465,0.15030100067774987
Savoie,2012,5,74,298785,50538,0.169145037401476,0.13776793032075235
Haute Savoie,2012,5,75,504674,95316,0.18886647618066316,0.1454373950450698
Paris,2012,5,76,1253322,248755,0.1984765287771219,0.12579368294253732
Seine Maritime,2012,5,77,876165,167294,0.19093892132189713,0.16556259551159877
Seine et Marne,2012,5,78,843673,186397,0.22093512533884574,0.14608799288895982
Yvelines,2012,5,79,926619,196240,0.21178067792695812,0.12578098794695766
Deux Sèvres,2012,5,80,270711,43596,0.16104258785198977,0.12997396732732466
Somme,2012,5,81,409444,74295,0.1814533855667686,0.15690193507186748
Tarn,2012,5,82,283884,41824,0.14732778177001873,0.11583693378782287
Tarn et Garonne,2012,5,83,175312,26302,0.15002966140366888,0.11978918550590051
Vaucluse,2012,5,84,388052,69617,0.17940121427025243,0.14686543001686342
Vendée,2012,5,85,488819,71718,0.14671688293621973,0.11868415440851784
Vienne,2012,5,86,303653,52557,0.17308243290861608,0.1422765178735565
Haute Vienne,2012,5,87,264914,41025,0.15486157771956183,0.13235664717055648
Vosges,2012,5,88,285410,51334,0.17986055148733401,0.15026323081185924
Yonne,2012,5,89,245258,47235,0.19259310603527713,0.1621127397277011
Territoire de Belfort,2012,5,90,94889,18382,0.1937210846357323,0.1567301847961697
Essonne,2012,5,91,767292,159764,0.20821799262862117,0.12924870647650122
Hauts de Seine,2012,5,92,938538,193160,0.20580946109800563,0.13060967319394473
Seine Saint Denis,2012,5,93,740536,196517,0.2653712986269405,0.1698050329652019
Val de Marne,2012,5,94,767571,172708,0.22500589522011644,0.14441066229107347
Val d'Oise,2012,5,95,704810,162343,0.23033583518962558,0.14239669152172818
Var,2012,5,96,757180,147017,0.19416387120631817,0.16533876491884011
Guadeloupe,2012,5,97,298108,141585,0.4749453218296725,0.40864327373553877
Martinique,2012,5,98,302903,144126,0.47581569017144104,0.41007079122675805
Guyane,2012,5,99,76874,37706,0.49049093321539144,0.41235645971275947
La Réunion,2012,5,100,578409,199021,0.3440835118402376,0.27389444490146075
Aveyron,2017,6,1,218276,36378,0.1666605581923803,0.14699079904921983
Ain,2017,6,2,415886,81507,0.19598399561418273,0.16758420346971112
Aisne,2017,6,3,375752,80183,0.21339340841831847,0.19392237574055757
Allier,2017,6,4,253508,54275,0.2140958076273727,0.17663057262706078
Alpes de Haute Provence,2017,6,5,126578,24323,0.1921581949469892,0.1697207362042394
Hautes Alpes,2017,6,6,109907,20821,0.18944198276724866,0.17073878257614747
Alpes Maritimes,2017,6,7,761761,161903,0.2125377907243873,0.2058036624767875
Ardèche,2017,6,8,249258,46618,0.18702709642218104,0.1584542492120435
Ardennes,2017,6,9,194379,44076,0.22675288997268223,0.20606473733206498
Ariège,2017,6,10,117409,21392,0.18220068308221687,0.15899286757755435
Aube,2017,6,11,203847,38951,0.19107958419795237,0.1863500171914141
Aude,2017,6,12,272695,52553,0.19271713819468636,0.1651266799854704
Bouches du Rhône,2017,6,13,1372394,300146,0.2187025008853143,0.1958006215554707
Calvados,2017,6,14,501153,90313,0.18021043473749535,0.16817552650408626
Cantal,2017,6,15,117425,22767,0.1938854588034916,0.16836692515004711
Charente,2017,6,16,259954,54980,0.21149895750786676,0.17886219392940003
Charente Maritime,2017,6,17,491369,99351,0.20219224248985995,0.18111779500664268
Cher,2017,6,18,228983,50910,0.22233091539546604,0.1961527302017608
Corrèze,2017,6,19,185277,34299,0.18512281610777376,0.14639450243972985
Corse du Sud,2017,6,20,108781,33758,0.3103299289397965,0.2574005231997797
Haute Corse,2017,6,21,124875,40907,0.3275835835835836,0.25721556961918646
Côte d'Or,2017,6,22,360658,68680,0.19042971457724492,0.1699150762847777
Côtes d'Armor,2017,6,23,455958,71617,0.15706929146982837,0.14292366745683108
Creuse,2017,6,24,93113,19917,0.21390138863531408,0.1777341935483871
Dordogne,2017,6,25,314020,57520,0.18317304630278325,0.15159024534114698
Doubs,2017,6,26,368401,76199,0.20683711499154453,0.1719883182578725
Drôme,2017,6,27,369489,73210,0.19813851021275328,0.16868428804495605
Eure,2017,6,28,427533,82215,0.19230094519019583,0.18493167077519565
Eure et Loir,2017,6,29,301466,60474,0.20059973595695701,0.190033715713403
Finistère,2017,6,30,690571,120636,0.17469022012218874,0.15836375967646368
Gard,2017,6,31,537939,107277,0.19942223932453307,0.17147434023595992
Haute Garonne,2017,6,32,906653,170785,0.18836864820388838,0.16529729537829793
Gers,2017,6,33,144959,23027,0.1588518132713388,0.1419213062768606
Gironde,2017,6,34,1086982,216602,0.19926916913067558,0.17338832526350575
Hérault,2017,6,35,800394,159370,0.19911443614020094,0.17839692693432768
Ille et Vilaine,2017,6,36,730142,116705,0.15983877108836364,0.15346542465816312
Indre,2017,6,37,170409,34911,0.2048659401792159,0.18032824620767443
Indre et Loire,2017,6,38,428871,80171,0.18693499910229416,0.1728198322128146
Isère,2017,6,39,856366,178004,0.2078597235294255,0.17400542324837234
Jura,2017,6,40,190332,36524,0.19189626547296304,0.16423198691116164
Landes,2017,6,41,310197,55411,0.17863164376186746,0.162003774347914
Loir et Cher,2017,6,42,245321,46325,0.18883422128558094,0.17191157775208693
Loire,2017,6,43,510809,108838,0.21306985585610277,0.17505557179601375
Haute Loire,2017,6,44,177158,32875,0.1855688142787794,0.15459702560433383
Loire Atlantique,2017,6,45,993538,162597,0.16365453560910603,0.15756254450662602
Loiret,2017,6,46,452607,87974,0.19437171762699207,0.18106103023516237
Lot,2017,6,47,136322,22347,0.16392805269875735,0.13861723061444908
Lot et Garonne,2017,6,48,240931,46805,0.19426723833794737,0.16729618223022838
Lozère,2017,6,49,59508,9949,0.1671876050278954,0.1478877942895308
Maine et Loire,2017,6,50,569425,97038,0.17041401413706808,0.1562094268861186
Manche,2017,6,51,379104,70202,0.18517873723305478,0.16936994964281532
Marne,2017,6,52,381696,81265,0.2129050343729041,0.20952453252984923
Haute Marne,2017,6,53,134148,28769,0.2144571667113934,0.19682715631725559
Mayenne,2017,6,54,222325,36392,0.16368829416394917,0.15585594127128172
Meurthe et Moselle,2017,6,55,495091,106495,0.21510187016124308,0.2005243125209382
Meuse,2017,6,56,137629,27849,0.20234834228251314,0.18271213775484718
Morbihan,2017,6,57,577012,96113,0.16657019264763992,0.15494792369458402
Moselle,2017,6,58,751271,177500,0.23626627408751302,0.21852327680312414
Nièvre,2017,6,59,159425,35457,0.22240551983691392,0.1923522384801499
Nord,2017,6,60,1804668,417073,0.23110788244707614,0.22122967552817266
Oise,2017,6,61,562085,113254,0.20148909862387362,0.1906585648042708
Orne,2017,6,62,208734,38340,0.18367874902986575,0.16646825490186853
Pas de Calais,2017,6,63,1090368,234194,0.21478436637905735,0.2013115837184238
Puy de Dôme,2017,6,64,460939,93363,0.2025495781437457,0.1593355103094734
Pyrénées Atlantiques,2017,6,65,502378,97357,0.19379232370844265,0.1775001738433283
Hautes Pyrénées,2017,6,66,177690,34275,0.19289211548201926,0.16765022517571596
Pyrénées Orientales,2017,6,67,347914,73984,0.21265025264864307,0.18204487263206812
Bas Rhin,2017,6,68,766539,154037,0.2009512888450555,0.20171985343950638
Haut Rhin,2017,6,69,526190,110496,0.20999258822858663,0.20600797430416712
Rhône,2017,6,70,1155604,249073,0.2155349064212308,0.18421052631578946
Haute Saône,2017,6,71,179214,34976,0.19516332429386096,0.16843993224317172
Saône et Loire,2017,6,72,406418,86784,0.21353384938659212,0.18921819472324733
Sarthe,2017,6,73,405440,73577,0.18147444751381214,0.17825138008838465
Savoie,2017,6,74,310237,62746,0.2022518268291661,0.169145037401476
Haute Savoie,2017,6,75,540033,116275,0.21531091618475168,0.18886647618066316
Paris,2017,6,76,1301637,210200,0.16148895583023531,0.1984765287771219
Seine Maritime,2017,6,77,881658,177294,0.20109157972819391,0.19093892132189713
Seine et Marne,2017,6,78,881558,183302,0.20792959737192562,0.22093512533884574
Yvelines,2017,6,79,951148,177485,0.1866008234260073,0.21178067792695812
Deux Sèvres,2017,6,80,272385,51156,0.1878076986618206,0.16104258785198977
Somme,2017,6,81,409014,80489,0.196787885011271,0.1814533855667686
Tarn,2017,6,82,291194,50507,0.17344794192188026,0.14732778177001873
Tarn et Garonne,2017,6,83,183341,32623,0.1779361953954653,0.15002966140366888
Vaucluse,2017,6,84,402323,80602,0.200341516642101,0.17940121427025243
Vendée,2017,6,85,514442,82867,0.1610813269523095,0.14671688293621973
Vienne,2017,6,86,307014,62127,0.20235885008501242,0.17308243290861608
Haute Vienne,2017,6,87,266322,50623,0.19008193089568268,0.15486157771956183
Vosges,2017,6,88,282612,56393,0.19954212843049834,0.17986055148733401
Yonne,2017,6,89,241918,52739,0.21800362106168206,0.19259310603527713
Territoire de Belfort,2017,6,90,95290,21638,0.22707524399202433,0.1937210846357323
Essonne,2017,6,91,795227,157440,0.19798120536651798,0.20821799262862117
Hauts de Seine,2017,6,92,986730,176715,0.17909154479948922,0.20580946109800563
Seine Saint Denis,2017,6,93,766894,210952,0.2750732174198781,0.2653712986269405
Val de Marne,2017,6,94,785540,164068,0.20886014715991547,0.22500589522011644
Val d'Oise,2017,6,95,730497,167560,0.22937808095036666,0.23033583518962558
Var,2017,6,96,794777,169107,0.21277289101219587,0.19416387120631817
Guadeloupe,2017,6,97,316345,189694,0.5996427950497084,0.4749453218296725
Martinique,2017,6,98,310812,186855,0.6011833519941315,0.47581569017144104
Guyane,2017,6,99,92935,61010,0.6564803357185129,0.49049093321539144
La Réunion,2017,6,100,639481,264229,0.41319288610607663,0.3440835118402376
