year,unemployment
1975-T1,3.2
1975-T2,3.5
1975-T3,3.8
1975-T4,3.9
1976-T1,4
1976-T2,4
1976-T3,3.9
1976-T4,4
1977-T1,4.2
1977-T2,4.5
1977-T3,4.7
1977-T4,4.6
1978-T1,4.5
1978-T2,4.5
1978-T3,4.8
1978-T4,5
1979-T1,5.1
1979-T2,5.2
1979-T3,5.3
1979-T4,5.4
1980-T1,5.5
1980-T2,5.5
1980-T3,5.6
1980-T4,5.8
1981-T1,6.2
1981-T2,6.5
1981-T3,6.8
1981-T4,6.9
1982-T1,7
1982-T2,7.1
1982-T3,7.2
1982-T4,7.3
1983-T1,7.3
1983-T2,7.3
1983-T3,7.5
1983-T4,7.8
1984-T1,8.2
1984-T2,8.6
1984-T3,8.8
1984-T4,9
1985-T1,9.1
1985-T2,9.1
1985-T3,9.1
1985-T4,9.1
1986-T1,9
1986-T2,9.1
1986-T3,9.1
1986-T4,9.2
1987-T1,9.3
1987-T2,9.3
1987-T3,9.2
1987-T4,9.1
1988-T1,9
1988-T2,8.9
1988-T3,8.9
1988-T4,8.7
1989-T1,8.4
1989-T2,8.3
1989-T3,8.1
1989-T4,8.1
1990-T1,8.1
1990-T2,8
1990-T3,8
1990-T4,8
1991-T1,7.9
1991-T2,8.1
1991-T3,8.3
1991-T4,8.5
1992-T1,8.7
1992-T2,8.9
1992-T3,9.1
1992-T4,9.3
1993-T1,9.6
1993-T2,9.9
1993-T3,10.2
1993-T4,10.5
1994-T1,10.7
1994-T2,10.7
1994-T3,10.6
1994-T4,10.4
1995-T1,10.2
1995-T2,9.9
1995-T3,9.8
1995-T4,9.9
1996-T1,10.2
1996-T2,10.5
1996-T3,10.5
1996-T4,10.6
1997-T1,10.7
1997-T2,10.7
1997-T3,10.6
1997-T4,10.5
1998-T1,10.3
1998-T2,10.2
1998-T3,10.1
1998-T4,10.2
1999-T1,10.2
1999-T2,10.2
1999-T3,9.9
1999-T4,9.5
2000-T1,9.1
2000-T2,8.7
2000-T3,8.4
2000-T4,8
2001-T1,7.8
2001-T2,7.7
2001-T3,7.7
2001-T4,7.8
2002-T1,7.8
2002-T2,7.9
2002-T3,7.9
2002-T4,7.9
2003-T1,8.4
2003-T2,8.5
2003-T3,8.4
2003-T4,8.8
2004-T1,9
2004-T2,8.8
2004-T3,8.9
2004-T4,8.9
2005-T1,8.6
2005-T2,8.8
2005-T3,9
2005-T4,9.1
2006-T1,9.2
2006-T2,9
2006-T3,8.9
2006-T4,8.4
2007-T1,8.5
2007-T2,8.1
2007-T3,8
2007-T4,7.5
2008-T1,7.2
2008-T2,7.3
2008-T3,7.4
2008-T4,7.8
2009-T1,8.6
2009-T2,9.2
2009-T3,9.2
2009-T4,9.5
2010-T1,9.4
2010-T2,9.3
2010-T3,9.2
2010-T4,9.2
2011-T1,9.2
2011-T2,9.1
2011-T3,9.2
2011-T4,9.3
2012-T1,9.5
2012-T2,9.7
2012-T3,9.8
2012-T4,10.2
2013-T1,10.3
2013-T2,10.5
2013-T3,10.3
2013-T4,10.1
2014-T1,10.1
2014-T2,10.2
2014-T3,10.3
2014-T4,10.5
2015-T1,10.3
2015-T2,10.5
2015-T3,10.4
2015-T4,10.2
2016-T1,10.2
2016-T2,10
2016-T3 ,9.9
2016-T4 ,10
2017-T1,9.6
2017-T2,9.5
2017-T3,9.5
2017-T4,9
2018-T1,9.3
2018-T2,9.1
2018-T3,9
2018-T4,8.7
2019-T1,8.7
2019-T2,8.4
2019-T3,8.5
2019-T4,8.1
2020-T1,7.8
2020-T2,7.2
2020-T3,9.1
2020-T4,8
2021-T1,8.1
2021-T2,8