"","date","unemployment","year","quarter"
"1",1975-01-01,3.2,1975,1
"2",1975-04-01,3.5,1975,2
"3",1975-07-01,3.8,1975,3
"4",1975-10-01,3.9,1975,4
"5",1976-01-01,4,1976,1
"6",1976-04-01,4,1976,2
"7",1976-07-01,3.9,1976,3
"8",1976-10-01,4,1976,4
"9",1977-01-01,4.2,1977,1
"10",1977-04-01,4.5,1977,2
"11",1977-07-01,4.7,1977,3
"12",1977-10-01,4.6,1977,4
"13",1978-01-01,4.5,1978,1
"14",1978-04-01,4.5,1978,2
"15",1978-07-01,4.8,1978,3
"16",1978-10-01,5,1978,4
"17",1979-01-01,5.1,1979,1
"18",1979-04-01,5.2,1979,2
"19",1979-07-01,5.3,1979,3
"20",1979-10-01,5.4,1979,4
"21",1980-01-01,5.5,1980,1
"22",1980-04-01,5.5,1980,2
"23",1980-07-01,5.6,1980,3
"24",1980-10-01,5.8,1980,4
"25",1981-01-01,6.2,1981,1
"26",1981-04-01,6.5,1981,2
"27",1981-07-01,6.8,1981,3
"28",1981-10-01,6.9,1981,4
"29",1982-01-01,7,1982,1
"30",1982-04-01,7.1,1982,2
"31",1982-07-01,7.2,1982,3
"32",1982-10-01,7.3,1982,4
"33",1983-01-01,7.3,1983,1
"34",1983-04-01,7.3,1983,2
"35",1983-07-01,7.5,1983,3
"36",1983-10-01,7.8,1983,4
"37",1984-01-01,8.2,1984,1
"38",1984-04-01,8.6,1984,2
"39",1984-07-01,8.8,1984,3
"40",1984-10-01,9,1984,4
"41",1985-01-01,9.1,1985,1
"42",1985-04-01,9.1,1985,2
"43",1985-07-01,9.1,1985,3
"44",1985-10-01,9.1,1985,4
"45",1986-01-01,9,1986,1
"46",1986-04-01,9.1,1986,2
"47",1986-07-01,9.1,1986,3
"48",1986-10-01,9.2,1986,4
"49",1987-01-01,9.3,1987,1
"50",1987-04-01,9.3,1987,2
"51",1987-07-01,9.2,1987,3
"52",1987-10-01,9.1,1987,4
"53",1988-01-01,9,1988,1
"54",1988-04-01,8.9,1988,2
"55",1988-07-01,8.9,1988,3
"56",1988-10-01,8.7,1988,4
"57",1989-01-01,8.4,1989,1
"58",1989-04-01,8.3,1989,2
"59",1989-07-01,8.1,1989,3
"60",1989-10-01,8.1,1989,4
"61",1990-01-01,8.1,1990,1
"62",1990-04-01,8,1990,2
"63",1990-07-01,8,1990,3
"64",1990-10-01,8,1990,4
"65",1991-01-01,7.9,1991,1
"66",1991-04-01,8.1,1991,2
"67",1991-07-01,8.3,1991,3
"68",1991-10-01,8.5,1991,4
"69",1992-01-01,8.7,1992,1
"70",1992-04-01,8.9,1992,2
"71",1992-07-01,9.1,1992,3
"72",1992-10-01,9.3,1992,4
"73",1993-01-01,9.6,1993,1
"74",1993-04-01,9.9,1993,2
"75",1993-07-01,10.2,1993,3
"76",1993-10-01,10.5,1993,4
"77",1994-01-01,10.7,1994,1
"78",1994-04-01,10.7,1994,2
"79",1994-07-01,10.6,1994,3
"80",1994-10-01,10.4,1994,4
"81",1995-01-01,10.2,1995,1
"82",1995-04-01,9.9,1995,2
"83",1995-07-01,9.8,1995,3
"84",1995-10-01,9.9,1995,4
"85",1996-01-01,10.2,1996,1
"86",1996-04-01,10.5,1996,2
"87",1996-07-01,10.5,1996,3
"88",1996-10-01,10.6,1996,4
"89",1997-01-01,10.7,1997,1
"90",1997-04-01,10.7,1997,2
"91",1997-07-01,10.6,1997,3
"92",1997-10-01,10.5,1997,4
"93",1998-01-01,10.3,1998,1
"94",1998-04-01,10.2,1998,2
"95",1998-07-01,10.1,1998,3
"96",1998-10-01,10.2,1998,4
"97",1999-01-01,10.2,1999,1
"98",1999-04-01,10.2,1999,2
"99",1999-07-01,9.9,1999,3
"100",1999-10-01,9.5,1999,4
"101",2000-01-01,9.1,2000,1
"102",2000-04-01,8.7,2000,2
"103",2000-07-01,8.4,2000,3
"104",2000-10-01,8,2000,4
"105",2001-01-01,7.8,2001,1
"106",2001-04-01,7.7,2001,2
"107",2001-07-01,7.7,2001,3
"108",2001-10-01,7.8,2001,4
"109",2002-01-01,7.8,2002,1
"110",2002-04-01,7.9,2002,2
"111",2002-07-01,7.9,2002,3
"112",2002-10-01,7.9,2002,4
"113",2003-01-01,8.4,2003,1
"114",2003-04-01,8.5,2003,2
"115",2003-07-01,8.4,2003,3
"116",2003-10-01,8.8,2003,4
"117",2004-01-01,9,2004,1
"118",2004-04-01,8.8,2004,2
"119",2004-07-01,8.9,2004,3
"120",2004-10-01,8.9,2004,4
"121",2005-01-01,8.6,2005,1
"122",2005-04-01,8.8,2005,2
"123",2005-07-01,9,2005,3
"124",2005-10-01,9.1,2005,4
"125",2006-01-01,9.2,2006,1
"126",2006-04-01,9,2006,2
"127",2006-07-01,8.9,2006,3
"128",2006-10-01,8.4,2006,4
"129",2007-01-01,8.5,2007,1
"130",2007-04-01,8.1,2007,2
"131",2007-07-01,8,2007,3
"132",2007-10-01,7.5,2007,4
"133",2008-01-01,7.2,2008,1
"134",2008-04-01,7.3,2008,2
"135",2008-07-01,7.4,2008,3
"136",2008-10-01,7.8,2008,4
"137",2009-01-01,8.6,2009,1
"138",2009-04-01,9.2,2009,2
"139",2009-07-01,9.2,2009,3
"140",2009-10-01,9.5,2009,4
"141",2010-01-01,9.4,2010,1
"142",2010-04-01,9.3,2010,2
"143",2010-07-01,9.2,2010,3
"144",2010-10-01,9.2,2010,4
"145",2011-01-01,9.2,2011,1
"146",2011-04-01,9.1,2011,2
"147",2011-07-01,9.2,2011,3
"148",2011-10-01,9.3,2011,4
"149",2012-01-01,9.5,2012,1
"150",2012-04-01,9.7,2012,2
"151",2012-07-01,9.8,2012,3
"152",2012-10-01,10.2,2012,4
"153",2013-01-01,10.3,2013,1
"154",2013-04-01,10.5,2013,2
"155",2013-07-01,10.3,2013,3
"156",2013-10-01,10.1,2013,4
"157",2014-01-01,10.1,2014,1
"158",2014-04-01,10.2,2014,2
"159",2014-07-01,10.3,2014,3
"160",2014-10-01,10.5,2014,4
"161",2015-01-01,10.3,2015,1
"162",2015-04-01,10.5,2015,2
"163",2015-07-01,10.4,2015,3
"164",2015-10-01,10.2,2015,4
"165",2016-01-01,10.2,2016,1
"166",2016-04-01,10,2016,2
"167",2016-07-01,9.9,2016,3
"168",2016-10-01,10,2016,4
"169",2017-01-01,9.6,2017,1
"170",2017-04-01,9.5,2017,2
"171",2017-07-01,9.5,2017,3
"172",2017-10-01,9,2017,4
"173",2018-01-01,9.3,2018,1
"174",2018-04-01,9.1,2018,2
"175",2018-07-01,9,2018,3
"176",2018-10-01,8.7,2018,4
"177",2019-01-01,8.7,2019,1
"178",2019-04-01,8.4,2019,2
"179",2019-07-01,8.5,2019,3
"180",2019-10-01,8.1,2019,4
"181",2020-01-01,7.8,2020,1
"182",2020-04-01,7.2,2020,2
"183",2020-07-01,9.1,2020,3
"184",2020-10-01,8,2020,4
"185",2021-01-01,8.1,2021,1
"186",2021-04-01,8,2021,2
