poll_id,election_year,pollName,election_id,period_start_day,period_end_day,candidate,start_day,y,t
2022 2021-12-06 BVA,2022,BVA,5,2021-12-05,2022-04-10,Le Pen,2021-12-06,71,1
2022 2021-12-06 BVA,2022,BVA,5,2021-12-05,2022-04-10,Zemmour,2021-12-06,57,1
2022 2021-12-07 Elabe,2022,Elabe,5,2021-12-05,2022-04-10,Le Pen,2021-12-07,65,1
2022 2021-12-07 Elabe,2022,Elabe,5,2021-12-05,2022-04-10,Zemmour,2021-12-07,61,1
2022 2021-12-07 Odoxa,2022,Odoxa,5,2021-12-05,2022-04-10,Le Pen,2021-12-07,88,1
2022 2021-12-07 Odoxa,2022,Odoxa,5,2021-12-05,2022-04-10,Zemmour,2021-12-07,62,1
2022 2021-12-10 Harris interactive,2022,Harris interactive,5,2021-12-05,2022-04-10,Le Pen,2021-12-10,123,1
2022 2021-12-10 Harris interactive,2022,Harris interactive,5,2021-12-05,2022-04-10,Zemmour,2021-12-10,115,1
2022 2022-01-03 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Le Pen,2022-01-03,84,5
2022 2022-01-03 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Zemmour,2022-01-03,59,5
2022 2022-01-04 Cluster 17,2022,Cluster 17,5,2021-12-05,2022-04-10,Le Pen,2022-01-04,69,5
2022 2022-01-04 Cluster 17,2022,Cluster 17,5,2021-12-05,2022-04-10,Zemmour,2022-01-04,62,5
2022 2022-01-05 BVA,2022,BVA,5,2021-12-05,2022-04-10,Le Pen,2022-01-05,70,5
2022 2022-01-05 BVA,2022,BVA,5,2021-12-05,2022-04-10,Zemmour,2022-01-05,49,5
2022 2022-01-07 Harris interactive,2022,Harris interactive,5,2021-12-05,2022-04-10,Le Pen,2022-01-07,99,5
2022 2022-01-07 Harris interactive,2022,Harris interactive,5,2021-12-05,2022-04-10,Zemmour,2022-01-07,93,5
2022 2022-01-07 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Le Pen,2022-01-07,94,5
2022 2022-01-07 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Zemmour,2022-01-07,66,5
2022 2022-01-09 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Le Pen,2022-01-09,97,6
2022 2022-01-09 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Zemmour,2022-01-09,65,6
2022 2022-01-11 Cluster 17,2022,Cluster 17,5,2021-12-05,2022-04-10,Le Pen,2022-01-11,245,6
2022 2022-01-11 Cluster 17,2022,Cluster 17,5,2021-12-05,2022-04-10,Zemmour,2022-01-11,237,6
2022 2022-01-13 Ifop,2022,Ifop,5,2021-12-05,2022-04-10,Le Pen,2022-01-13,49,6
2022 2022-01-13 Ifop,2022,Ifop,5,2021-12-05,2022-04-10,Zemmour,2022-01-13,36,6
2022 2022-01-15 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Le Pen,2022-01-15,63,6
2022 2022-01-15 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Zemmour,2022-01-15,38,6
2022 2022-01-17 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Le Pen,2022-01-17,96,7
2022 2022-01-17 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Zemmour,2022-01-17,73,7
2022 2022-01-18 Cluster 17,2022,Cluster 17,5,2021-12-05,2022-04-10,Le Pen,2022-01-18,253,7
2022 2022-01-18 Cluster 17,2022,Cluster 17,5,2021-12-05,2022-04-10,Zemmour,2022-01-18,236,7
2022 2022-01-18 Ifop,2022,Ifop,5,2021-12-05,2022-04-10,Le Pen,2022-01-18,63,7
2022 2022-01-18 Ifop,2022,Ifop,5,2021-12-05,2022-04-10,Zemmour,2022-01-18,43,7
2022 2022-01-19 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Le Pen,2022-01-19,64,7
2022 2022-01-19 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Zemmour,2022-01-19,46,7
2022 2022-01-21 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Le Pen,2022-01-21,89,7
2022 2022-01-21 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Zemmour,2022-01-21,72,7
2022 2022-01-22 Ifop,2022,Ifop,5,2021-12-05,2022-04-10,Le Pen,2022-01-22,60,7
2022 2022-01-22 Ifop,2022,Ifop,5,2021-12-05,2022-04-10,Zemmour,2022-01-22,42,7
2022 2022-01-24 BVA,2022,BVA,5,2021-12-05,2022-04-10,Le Pen,2022-01-24,91,8
2022 2022-01-24 BVA,2022,BVA,5,2021-12-05,2022-04-10,Zemmour,2022-01-24,63,8
2022 2022-01-25 Cluster 17,2022,Cluster 17,5,2021-12-05,2022-04-10,Le Pen,2022-01-25,205,8
2022 2022-01-25 Cluster 17,2022,Cluster 17,5,2021-12-05,2022-04-10,Zemmour,2022-01-25,205,8
2022 2022-01-25 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Le Pen,2022-01-25,94,8
2022 2022-01-25 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Zemmour,2022-01-25,72,8
2022 2022-01-26 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Le Pen,2022-01-26,54,8
2022 2022-01-26 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Zemmour,2022-01-26,41,8
2022 2022-01-28 Harris interactive,2022,Harris interactive,5,2021-12-05,2022-04-10,Le Pen,2022-01-28,123,8
2022 2022-01-28 Harris interactive,2022,Harris interactive,5,2021-12-05,2022-04-10,Zemmour,2022-01-28,101,8
2022 2022-01-28 Ifop,2022,Ifop,5,2021-12-05,2022-04-10,Le Pen,2022-01-28,52,8
2022 2022-01-28 Ifop,2022,Ifop,5,2021-12-05,2022-04-10,Zemmour,2022-01-28,40,8
2022 2022-01-29 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Le Pen,2022-01-29,100,8
2022 2022-01-29 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Zemmour,2022-01-29,82,8
2022 2022-01-31 Elabe,2022,Elabe,5,2021-12-05,2022-04-10,Le Pen,2022-01-31,89,9
2022 2022-01-31 Elabe,2022,Elabe,5,2021-12-05,2022-04-10,Zemmour,2022-01-31,67,9
2022 2022-02-01 Ifop,2022,Ifop,5,2021-12-05,2022-04-10,Le Pen,2022-02-01,58,9
2022 2022-02-01 Ifop,2022,Ifop,5,2021-12-05,2022-04-10,Zemmour,2022-02-01,43,9
2022 2022-02-01 Ipsos,2022,Ipsos,5,2021-12-05,2022-04-10,Le Pen,2022-02-01,130,9
2022 2022-02-01 Ipsos,2022,Ipsos,5,2021-12-05,2022-04-10,Zemmour,2022-02-01,130,9
2022 2022-02-01 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Le Pen,2022-02-01,112,9
2022 2022-02-01 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Zemmour,2022-02-01,92,9
2022 2022-02-03 Ipsos,2022,Ipsos,5,2021-12-05,2022-04-10,Le Pen,2022-02-03,1136,9
2022 2022-02-03 Ipsos,2022,Ipsos,5,2021-12-05,2022-04-10,Zemmour,2022-02-03,1098,9
2022 2022-02-04 Harris interactive,2022,Harris interactive,5,2021-12-05,2022-04-10,Le Pen,2022-02-04,105,9
2022 2022-02-04 Harris interactive,2022,Harris interactive,5,2021-12-05,2022-04-10,Zemmour,2022-02-04,90,9
2022 2022-02-04 Ifop,2022,Ifop,5,2021-12-05,2022-04-10,Le Pen,2022-02-04,56,9
2022 2022-02-04 Ifop,2022,Ifop,5,2021-12-05,2022-04-10,Zemmour,2022-02-04,49,9
2022 2022-02-04 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Le Pen,2022-02-04,98,9
2022 2022-02-04 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Zemmour,2022-02-04,80,9
2022 2022-02-07 Elabe,2022,Elabe,5,2021-12-05,2022-04-10,Le Pen,2022-02-07,81,10
2022 2022-02-07 Elabe,2022,Elabe,5,2021-12-05,2022-04-10,Zemmour,2022-02-07,68,10
2022 2022-02-07 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Le Pen,2022-02-07,99,10
2022 2022-02-07 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Zemmour,2022-02-07,87,10
