party;party_clean;bloc
RPR;;
 Eglise de la Très Sainte Consommation ;;
 Mouvement anti-radar ; Mouvement anti-radar ;
 Mouvement anti-radars ; Mouvement anti-radar ;
 Nouvelle Gouvernance Radicale;;
 Parti populaire francais ;;
 Parti republicain pour la democratie;;
 Union republicaine populaire ;URP;
Énergie Democrate;;
A gauche en Guyane;;
A manca naziunale;;
Abertzaleen Batasuna;;
Accolta naziunale corsa;;
Agir pour la Reunion;;
Alliance centriste;;
Alliance des Francais pour le progrès;;
Alliance ecologiste independante;;
Alliance populaire;;
Alliance radicale et centriste;;
Alliance rouge et verte;;
Alliance royale;Alliance Royale;
Alliance Royale;Alliance Royale;
Alsace d;Alsace d'Abord;
Alsace d'Abord;Alsace d'Abord;
Alsace d´abord;Alsace d'Abord;
Alternative liberale;Alternative Liberale;
Alternative Liberale;Alternative Liberale;
Alternative nationale;;
Alternative rouge et verte;;
AMPR;;
Anticolonialistes;;
Appel de Beziers;;
Association des usagers de l'administration et des services publics;;
Atout Direct;;
Bâtir le pays Martinique;;
Bâtir le pays Martinque;;
Batasuna;;
Batir le pays Martinique;;
Bloc Català;;
Bloc Identitaire;Bloc Identitaire;
Bloc identitaire;Bloc Identitaire;
Bordeaux à gauche;;
Breizhistance;;
Camp liberal corsiste;;
Cannabis Sante Libertes Justice;;
Cap 21;Cap21;
CAP 21;Cap21;
Cap21;Cap21;
CAP21;Cap21;
Centre Independant;;
CNI;;
CNIP;;
Collectif Democrate Handicapes;;
Collectif des inkoruptibles;;
Collectif republicain et citoyen;;
Combat ouvrier;;
Communistes;;
Communistes en Somme;;
Concordat citoyen;;
Confederation des Écologistes Independants;;
Confederation des ecologistes independants;;
Confederation ecologistes independants;;
Conseil national des comites populaires;;
Convention citoyenne;;
Convention Citoyenne;;
Convention pour une alternative progressiste;;
Convergence Democratique de Catalogne;;
Cornouaille 2010;;
Corse social democrate;;
Corse social-democrate;;
Corsica Libera;;
Corsica naziune;;
CPNT;;
Debout la Republique;;
Debout Republique;;
Defendons la Chasse et Nos Traditions / Droit de Chasse;;
Democratie active;;
Democratie chretienne francaise;;
Democratie et Legitimite;;
Democratie liberale;;
Democratie Liberale;;
Democratie reelle;;
DIV;;
Divers;;
Divers droite;;
Divers drotie;;
Divers gauche;;
Droit  de Chasse;;
Droit de chasse;;
Droite de chasse;;
Droite republicaine centriste;;
DVD;;
DVG;;
Ecologie citoyenne;;
Ecologie independant;;
Ecologiste;;
Ecologiste independant;;
EELV;;
Emergence;;
Emgann;;
En avant Bretagne;;
Energies democrates;;
Ensemble redressons la France;;
Entente republicaine;;
Eologiste;;
Esquerra Republicana de Catalunya;;
Europalestine;;
Europe-Liberte;;
Euskal Herria Bai;;
Euskal herria bai;;
Eusko Alkartasuna;;
EXG;;
Extrème droite;;
Extrème gauche;;
Faire front à gauche;;
FASE;;
Femu a Corsica;;
FN;;
Force Libertes;;
Forces martiniquaises de progrès;;
France 21;;
France ecologie;;
France plus;;
Frankiz Breizh;;
Free dom;;
Front de droite;;
Front de gauche;;
front de gauche;;
Front des banlieues independants;;
Gauche Alternative 2007;;
Gauche moderne;;
Gauche republicaine et humaniste;;
Gauche socialiste;;
Gaulliste Mitterandiste;;
Generation ecologie;;
Generation Ecologie;;
Generation ecologique;;
Generation ecologique;;
Generation solidaire;;
Generation solidarite;;
Halte à l'immigration;;
I versi corsi;;
Idee bretonne;;
Identite et Republique;;
Indignes du 94;;
Initiative republicaine;;
Insemi par l'avvena;;
Jacques;;
Jeune Bretagne;;
L'engagement Pacifique et son Ethique ;;
La Bouffee;;
La France de Demain;;
La France en Action;;
La France en action;;
La gauche moderne;;
La Gauche moderne;;
La ligue du Midi;;
La ligue du midi;;
La Nouvelle Gauche;;
LCR;;
LDI-CNIP;;
LDI-MPF;;
Le Centre pour la France;;
Le centre pour la France;;
Le Nouveau Centre;;
Le Parti de la France;;
Le parti de la France;;
Le Trèfle;;
Le trèfle;;
Le trefle;;
Les alternatifs;;
Les Alternatifs;;
Les nouveaux ecologistes;;
Les Verts;;
Ligue du midi;;
Ligue du Midi;;
Ligue du Sud;;
Ligue nationaliste;;
Ligue republicaine;;
Ligue savoisienne;;
Ligue Savoisienne;;
Liste chretienne;;
Liste Nour;;
LO;;
Lumières de Paris;;
Lutte ouvrière;;
M;;
MAJ;;
Majorite Silencieuse;;
Manca naziunale;;
Martinique nouvelle;;
MDES;;
MDM;;
MEI;;
Mei;;
MHAN;;
MNR;;
mnr.png;;
MoDem;;
Motive-e-s;;
Mouvement affirmation;;
Mouvement Allez la vie;;
Mouvement anti-radar;;
Mouvement anti-radar ;;
Mouvement antitheiste et libertin;;
Mouvement Bretagne Progrès;;
Mouvement centriste martiniquais;;
Mouvement citerrien;;
Mouvement Citerrien;;
Mouvement Citterien;;
Mouvement de decolonisation et d'emancipation sociale;;
Mouvement de la Pluralite Populaire ;;
Mouvement des citoyens;;
Mouvement des democrates;;
Mouvement des objecteurs de croissance;;
Mouvement des radicaux de gauche;;
Mouvement des reformateurs;;
Mouvement EBRT;;
Mouvement ecologique independant;;
Mouvement ecologiste independant;;
Mouvement ecologiste independant;;
Mouvement Ecologiste Independant;;
Mouvement guadeloupeen ecologiste;;
Mouvement Hommes-Animaux-Nature;;
Mouvement independantiste martiniquais;;
Mouvement liberal martiniquais;;
Mouvement populaire franciscains;;
Mouvement Populaire Reunionnais;;
Mouvement pour l;;
Mouvement pour l'autodetermination;;
Mouvement pour l'Independance de la Reunion;;
Mouvement pour la Reunion;;
Mouvement region Savoie;;
Mouvement regionaliste breton;;
Mouvement regionaliste de Bretagne;;
Mouvement Social Democrate;;
MPEP;;
MPF;;
MPR;;
MRC;;
MUP;;
NA;;
Nasion Renione;;
Neant total;;
Nissa Rebela;;
Nissa rebela;;
Nofwap;;
Nouveau centre;;
Nouveau ecologiste;;
Nouveau Tiers Etat;;
Nouveaux entrepreneurs de l?espace rural francais;;
Nouvel elan pour Mayotte;;
Nouvelle action royaliste;;
Nouvelle donne;;
Nouvelle droite populaire;;
Nouvelle gauche;;
Nouvelle solidarite;;
Nouvelle union francaise;;
NPA;;
Objecteurs de croissance de Lille;;
Objectif Guadeloupe;;
Osons oser;;
Pôle de Renaissance Communiste en France;;
Pôle republicain;;
Pôle-republicain;;
Palima;;
Part des travailleurs;;
Parti anti sioniste;;
Parti autogestionnaire;;
Parti blanc;;
Parti Blanc;;
Parti Breton;;
Parti breton;;
Parti chretien democrate;;
Parti communiste guadeloupeen;;
Parti Communiste Guadeloupeen;;
Parti communiste martiniquais;;
Parti communiste reunionnais;;
Parti Communiste Reunionnais;;
Parti d'en Rire;;
Parti de la France;;
Parti de la loi naturelle;;
Parti de la Nation Occitane;;
Parti des evidences concrètes;;
Parti des Francais progressistes;;
Parti des Genovefains;;
Parti des musulmans de France;;
Parti des Musulmans de France;;
Parti des objecteurs de croissance;;
Parti des socio professionnels;;
Parti des socioprofessionels;;
Parti des socioprofessionnels;;
Parti des travailleurs;;
Parti du plaisir;;
Parti du vote blanc;;
Parti faire un tour;;
Parti federaliste;;
Parti federaliste europeen;;
Parti humaniste;;
Parti Humaniste;;
Parti liberal democrate;;
Parti national basque;;
Parti National Radical;;
Parti nationaliste basque;;
Parti neo-socialiste;;
Parti occitan;;
Parti Occitan;;
Parti ouvrier independant;;
Parti pied-noir;;
Parti pirate;;
Parti pour la decroissance;;
Parti pour la defense des animaux;;
Parti pour la liberte;;
Parti progressiste democratique guadeloupeen;;
Parti progressiste et democratique guadeloupeen;;
Parti progressiste martiniquais;;
Parti Rachid Nekkaz;;
Parti radical de gauche;;
Parti radical socialiste;;
Parti radical valoisien;;
Parti radical Valoisien;;
Parti regionaliste martiniquais;;
Parti republicain chretien;;
Parti Social Mahorais;;
Parti socialiste;;
Parti Socialiste Guadeloupeen;;
Parti socialiste guyanais;;
Parti Socialiste Guyanais;;
Parti socialiste guyannais;;
Parti Socialiste Reunionnais;;
Parti unitaire republicain ;;
Parti universaliste de France ;;
Partie federaliste;;
Partit Occitan;;
Partit occitan;;
Partit per Catalunya;;
Partit per catalunya;;
PCF;;
PCR;;
Plateforme 2007;;
PNR;;
Pour un langage citoyen;;
PRG;;
Priorite socialiste Reunion;;
PS;;
PS dissident;;
PT;;
Ras le bol;;
Rassemblement bleu Marine;;
Rassemblement d;;
Rassemblement democrate ecologiste et republicain;;
Rassemblement des contribuables francais;;
Rassemblement des Contribuables Francais;;
Rassemblement des contribuables francaise;;
Rassemblement des democrates et des republicains de progrès;;
Rassemblement des democrates et republicains de progrès;;
Rassemblement du peuple franc-comtois;;
Rassemblement France Reunion;;
Rassemblement pour l;;
Rassemblement pour l'Europe federale;;
Rassemblement pour la democratie directe;;
Rassemblent des contribuables francais;;
Rasssemblement des democrates et republicains de progrès;;
RDM;;
REG;;
Renouveau ecologique;;
Renouveau Socialiste;;
Republique solidaire;;
Resistance Citoyenne;;
Resistance citoyenne;;
Resistances;;
Reunion espoir;;
RPF;;
RPG;;
RPR dissident;;
Sans etiquette;;
SEGA;;
SOC;;
Solidarite & Progrès;;
Solidarite et progrès;;
Solidarite et Progrès;;
Solidarite et Progrès;;
Solidarite liberte justice;;
Solidarite, ecologie, gauche alternative;;
Territoire et Libertes;;
Terroirs Nice Vallees ;;
Tradition et modernite;;
Troisième force;;
U partitu di a corsica;;
UDB;;
UDF;;
UDF dissident;;
UMP;;
Union Action;;
Union de la droite nationale;;
Union de la Droite Nationale et Catholique ;;
Union de la droite republicaine;;
Union democratie ecologie;;
Union democratique bretonne;;
Union democratique Bretonne;;
Union democratique de Bretagne;;
Union Democratique Populaire;;
Union des contribuables francais;;
Union des independants;;
Union des republicains de progrès;;
Union droite republicaine;;
Union du peuple alsacien;;
Union du Peuple Alsacien;;
Union du peuple corse;;
Union ecologie democratie;;
Union Elargie des Seniors;;
Union nicoise;;
Union pour la defense de la Guyane;;
Union pour la France;;
Union pour la liberation de la Guadeloupe;;
Union pour un mouvement populaire;;
Union republicaine populaire;;
Union royaliste;;
Unione Nazionale;;
Unione per una Suluzione Pulitica;;
Unionn democratique bretonne;;
Unitat Catalana;;
Unite ecologique;;
Unser Land;;
US4J;;
Valeurs et idees citoyennes;;
Walwari;;